year	month	Q															
2000	1	985															
2000	2	879															
2000	3	662															
2000	4	612															
2000	5	1610															
2000	6	1330															
2000	7	1630															
2000	8	1330															
2000	9	907															
2000	10	606															
2000	11	580															
2000	12	673															
2001	1	730															
2001	2	770															
2001	3	500															
2001	4	404															
2001	5	1090															
2001	6	1930															
2001	7	1830															
2001	8	1500															
2001	9	877															
2001	10	324															
2001	11	328															
2001	12	512															
2002	1	576															
2002	2	597															
2002	3	550															
2002	4	1340															
2002	5	1990															
2002	6	3310															
2002	7	3080															
2002	8	3010															
2002	9	1690															
2002	10	857															
2002	11	678															
2002	12	743															
2003	1	633															
2003	2	643															
2003	3	915															
2003	4	2060															
2003	5	2380															
2003	6	3410															
2003	7	3420															
2003	8	2080															
2003	9	1080															
2003	10	729															
2003	11	772															
2003	12	906															
2004	1	994															
2004	2	926															
2004	3	847															
2004	4	1030															
2004	5	2460															
2004	6	3250															
2004	7	2500															
2004	8	1590															
2004	9	910															
2004	10	559															
2004	11	626															
2004	12	971															
2005	1	1000															
2005	2	1000															
2005	3	1330															
2005	4	1420															
2005	5	2210															
2005	6	3500															
2005	7	4500															
2005	8	2490															
2005	9	1320															
2005	10	877															
2005	11	825															
2005	12	778															
2006	1	832															
2006	2	871															
2006	3	776															
2006	4	777															
2006	5	2100															
2006	6	2030															
2006	7	2090															
2006	8	1920															
2006	9	1050															
2006	10	548															
2006	11	602															
2006	12	651															
2007	1	797															
2007	2	459															
2007	3	442															
2007	4	1280															
2007	5	2040															
2007	6	2010															
2007	7	2120															
2007	8	1470															
2007	9	1060															
2007	10	661															
2007	11	565															
2007	12	583															
2008	1	593															
2008	2	510															
2008	3	367															
2008	4	365															
2008	5	783															
2008	6	1550															
2008	7	1140															
2008	8	1010															
2008	9	542															
2008	10	319															
2008	11	449															
2008	12	406															
2009	1	620															
2009	2	438															
2009	3	435															
2009	4	637															
2009	5	2000															
2009	6	2120															
2009	7	2960															
2009	8	2960															
2009	9	1020															
2009	10	505															
2009	11	606															
2009	12	737															
2010	1	578															
2010	2	714															
2010	3	1010															
2010	4	1370															
2010	5	2930															
2010	6	3250															
2010	7	3760															
2010	8	3930															
2010	9	1830															
2010	10	791															
2010	11	641															
2010	12	590															
2011	1	603															
2011	2	612															
2011	3	525															
2011	4	472															
2011	5	1200															
2011	6	1120															
2011	7	1430															
2011	8	1890															
2011	9	1100															
2011	10	414															
2011	11	664															
2011	12	780															
2012	1	1040															
2012	2	992															
2012	3	933															
2012	4	1830															
2012	5	2140															
2012	6	3300															
2012	7	3730															
2012	8	2250															
2012	9	2010															
2012	10	976															
2012	11	835															
2012	12	904															
2013	1	884															
2013	2	818															
2013	3	878															
2013	4	1010															
2013	5	1400															
2013	6	2480															
2013	7	1970															
2013	8	2100															
2013	9	1020															
2013	10	650															
2013	11	515															
2013	12	533															
2014	1	492															
2014	2	598															
2014	3	676															
2014	4	738															
2014	5	1650															
2014	6	2400															
2014	7	3020															
2014	8	1700															
2014	9	1140															
2014	10	776															
2014	11	803															
2014	12	812															
2015	1	717															
2015	2	780															
2015	3	876															
2015	4	1200															
2015	5	2220															
2015	6	3180															
2015	7	4150															
2015	8	2350															
2015	9	1010															
2015	10	654															
2015	11	758															
2015	12	710															
2016	1	677															
2016	2	657															
2016	3	641															
2016	4	877															
2016	5	1680															
2016	6	2570															
2016	7	2220															
2016	8	1640															
2016	9	717															
2016	10	433															
2016	11	341															
2016	12	345															
2017	1	416															
2017	2	565
2017	3	581															
2017	4	1330															
2017	5	2680															
2017	6	3180															
2017	7	3170															
2017	8	2110															
2017	9	1090															
2017	10	574															
2017	11	488															
2017	12	517															
2018	2	398															
2018	3	403															
2018	4	460															
2018	5	603															
2018	6	1283															
2018	7	1915															
2018	8	2187															
2018	9	1809															
2018	10	1020															
2018	11	400															
2018	12	657															
